ID,Policy_Start_Date,Policy_End_Date,Gender,Age,First_Transaction_Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target,Policy_Start_Year,Policy_Start_Month,Policy_Start_Day,Policy_End_Year,Policy_End_Month,Policy_End_Day,First_Transaction_Year,First_Transaction_Month,First_Transaction_Day
ID_WWVLVMX,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,TOYOTA,Victoria Island,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_MOT18O0,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,As Attached,Victoria Island,Lagos,Motor Cycle,1,2010,1,1,2010,12,31,2010,2010,2010
ID_6VBC8AX,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,Ford,Victoria Island,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_AZ4KCEE,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,Ford,Victoria Island,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_EF7BPEE,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,TOYOTA,Victoria Island,Lagos,CVTP,0,2010,1,1,2010,12,31,2010,2010,2010
ID_WY9DL6L,2010-01-01,2010-12-31,Other,120,2010-01-01,2,JEEP,As Attached,Honda,Lagos Island,Lagos,Car Classic,0,2010,1,1,2010,12,31,2010,2010,2010
ID_PLV51SO,2010-01-01,2010-12-31,,120,2010-01-01,4,JEEP,As Attached,TOYOTA,Victoria Island,Lagos,CVTP,1,2010,1,1,2010,12,31,2010,2010,2010
ID_MM7CYR4,2010-01-01,2010-12-31,Female,27,2010-01-01,1,Saloon,As Attached,TOYOTA,Victoria Island,Lagos,Car Classic,1,2010,1,1,2010,12,31,2010,2010,2010
ID_NK2GE3T,2010-01-01,2010-12-31,Female,32,2010-01-01,1,Saloon,Black,TOYOTA,GBAGADA,Benue,Car Classic,1,2010,1,1,2010,12,31,2010,2010,2010
ID_X68OPDC,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,As Attached,Victoria Island,Lagos,Motor Cycle,0,2010,1,1,2010,12,31,2010,2010,2010
ID_PQPPDOA,2010-01-01,2010-12-31,Female,62,2010-01-01,1,JEEP,As Attached,Mercedes,Victoria Island,Lagos,CarSafe,0,2010,1,1,2010,12,31,2010,2010,2010
ID_PTEAANG,2010-01-01,2010-12-31,Female,36,2010-01-01,1,Saloon,As Attached,TOYOTA,Victoria Island,Lagos,CarSafe,0,2010,1,1,2010,12,31,2010,2010,2010
ID_UC78MRX,2010-01-01,2010-12-31,Male,20,2010-01-01,1,Saloon,Grey,TOYOTA,IbadanCentral,Benue,Customized Motor,0,2010,1,1,2010,12,31,2010,2010,2010
ID_31LHO0S,2010-01-01,2010-12-31,Female,53,2010-01-01,1,JEEP,Grey,TOYOTA,IbadanCentral,Benue,CarSafe,0,2010,1,1,2010,12,31,2010,2010,2010
ID_B5V0WWJ,2010-01-01,2010-12-31,,120,2010-01-01,4,JEEP,Grey,Mitsubishi,Victoria Island,Lagos,Muuve,0,2010,1,1,2010,12,31,2010,2010,2010
ID_TLSOBUR,2010-01-01,2010-12-31,Other,120,2010-01-01,2,JEEP,Grey,Honda,Lagos Island,Lagos,Car Classic,0,2010,1,1,2010,12,31,2010,2010,2010
ID_B5Y8600,2010-01-01,2010-12-31,Other,20,2010-01-01,4,JEEP,As Attached,As Attached,Yaba,Benue,CVTP,1,2010,1,1,2010,12,31,2010,2010,2010
ID_0YVNPAI,2010-01-01,2010-12-31,Other,44,2010-01-01,1,Saloon,As Attached,Honda,Ikeja,Lagos,Car Classic,0,2010,1,1,2010,12,31,2010,2010,2010
ID_P5YXXFT,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,Mitsubishi,Victoria Island,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_EPJW8ZS,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,Mitsubishi,Victoria Island,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_WX4U1YF,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,TOYOTA,Victoria Island,Lagos,Muuve,0,2010,1,1,2010,12,31,2010,2010,2010
ID_QT7VHFU,2010-01-01,2010-12-31,Female,62,2010-01-01,1,JEEP,As Attached,TOYOTA,Victoria Island,Lagos,CarSafe,0,2010,1,1,2010,12,31,2010,2010,2010
ID_N49ZZPY,2010-01-01,2011-05-31,Other,93,2010-01-01,7,JEEP,As Attached,TOYOTA,Lagos Island,Lagos,CarSafe,0,2010,1,1,2011,5,31,2010,2010,2010
ID_VOH16EF,2010-01-01,2010-12-31,,120,2010-01-01,4,JEEP,As Attached,.,Victoria Island,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_O5AXNSA,2010-01-01,2010-12-31,Other,120,2010-01-01,2,JEEP,As Attached,Honda,Lagos Island,Lagos,Car Classic,0,2010,1,1,2010,12,31,2010,2010,2010
ID_NG1KJPV,2010-01-01,2010-12-31,,120,2010-01-01,4,JEEP,As Attached,TOYOTA,Victoria Island,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_RG9K2SA,2010-01-01,2010-12-31,Other,20,2010-01-01,3,JEEP,As Attached,TOYOTA,Lagos,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_448AUF2,2010-01-01,2011-05-31,Other,93,2010-01-01,7,JEEP,As Attached,Honda,Lagos Island,Lagos,CarSafe,0,2010,1,1,2011,5,31,2010,2010,2010
ID_8LR0YKQ,2010-01-01,2010-12-31,Other,50,2010-01-01,1,Saloon,As Attached,TOYOTA,Lagos Island,Lagos,CarSafe,0,2010,1,1,2010,12,31,2010,2010,2010
ID_YPR71VM,2010-01-01,2010-12-31,Other,20,2010-01-01,3,Saloon,As Attached,TOYOTA,Lagos,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_R7NEBUD,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,TOYOTA,Victoria Island,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_GI1Y1XH,2010-01-01,2010-12-31,Male,70,2010-01-01,1,Saloon,Black,Lexus,Surulere,Lagos,Car Classic,0,2010,1,1,2010,12,31,2010,2010,2010
ID_4K5WKIN,2010-01-01,2010-12-31,Male,33,2010-01-01,1,Saloon,Black,Mercedes,Surulere,Lagos,Car Classic,0,2010,1,1,2010,12,31,2010,2010,2010
ID_VUT1OT3,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,.,Victoria Island,Lagos,Muuve,0,2010,1,1,2010,12,31,2010,2010,2010
ID_NPGOUN5,2010-01-01,2011-05-31,Other,93,2010-01-01,7,Saloon,As Attached,TOYOTA,Lagos Island,Lagos,CarSafe,0,2010,1,1,2011,5,31,2010,2010,2010
ID_SILXIAO,2010-01-01,2010-12-31,Other,20,2010-01-01,4,Saloon,As Attached,As Attached,Yaba,Benue,CVTP,0,2010,1,1,2010,12,31,2010,2010,2010
ID_RQ6JNUG,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,As Attached,Victoria Island,Lagos,Muuve,0,2010,1,1,2010,12,31,2010,2010,2010
ID_20GFWO2,2010-01-01,2010-12-31,Other,44,2010-01-01,1,Saloon,As Attached,Honda,Ikeja,Lagos,Car Classic,0,2010,1,1,2010,12,31,2010,2010,2010
ID_HER91KK,2010-01-01,2010-12-31,Female,47,2010-01-01,1,JEEP,Black,Mercedes,Eti-Osa,Eti-Osa,Car Plus,0,2010,1,1,2010,12,31,2010,2010,2010
ID_GX4BFSG,2010-01-01,2010-12-31,Other,20,2010-01-01,3,JEEP,Black,Mercedes,Lagos,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_8CMPRYW,2010-01-01,2010-12-31,Male,51,2010-01-01,3,JEEP,Black,TOYOTA,Victoria Island,Lagos,Customized Motor,0,2010,1,1,2010,12,31,2010,2010,2010
ID_1GKM6N8,2010-01-01,2010-12-31,,120,2010-01-01,4,JEEP,Black,Lexus,Victoria Island,Lagos,Muuve,0,2010,1,1,2010,12,31,2010,2010,2010
ID_W8RO33C,2010-01-01,2010-12-31,Other,20,2010-01-01,3,JEEP,As Attached,Lexus,Lagos,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_8ODNWAO,2010-01-01,2010-12-31,Other,20,2010-01-01,3,JEEP,As Attached,Lexus,Lagos,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_NCS6UUG,2010-01-01,2010-12-31,,120,2010-01-01,4,JEEP,As Attached,Ford,Victoria Island,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_CDA5LDK,2010-01-01,2010-12-31,Other,20,2010-01-01,3,JEEP,As Attached,Ford,Lagos,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_CZ9DW6L,2010-01-01,2010-12-31,,120,2010-01-01,4,JEEP,As Attached,Lexus,Victoria Island,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_2AMSVDM,2010-01-01,2010-12-31,Male,20,2010-01-01,1,Saloon,As Attached,TOYOTA,Lagos,Lagos,Car Classic,0,2010,1,1,2010,12,31,2010,2010,2010
ID_0QL0WDA,2010-01-02,2012-01-01,Male,51,2010-01-02,2,Saloon,As Attached,TOYOTA,Lagos,Lagos,Motor Cycle,0,2010,1,2,2012,1,1,2010,2010,2010
ID_HXFBG8I,2010-01-02,2011-01-01,Female,35,2010-01-02,1,Saloon,As Attached,TOYOTA,Lagos,Lagos,CarSafe,0,2010,1,2,2011,1,1,2010,2010,2010
ID_NFDZ5ZB,2010-01-02,2011-01-01,Male,31,2010-01-02,1,JEEP,As Attached,Lexus,Lagos,Lagos,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_X205W3G,2010-01-02,2011-01-01,Male,66,2010-01-02,1,Saloon,Black,TOYOTA,Abuja Municipal,Abuja-Municipal,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_EOHR2L8,2010-01-02,2011-01-01,Other,40,2010-01-02,1,Saloon,Black,Mercedes,Abuja Municipal,Abuja-Municipal,CarSafe,0,2010,1,2,2011,1,1,2010,2010,2010
ID_YQ5I1S3,2010-01-02,2011-01-01,Female,41,2010-01-02,1,Saloon,Black,Honda,Abuja Municipal,Abuja-Municipal,CarSafe,0,2010,1,2,2011,1,1,2010,2010,2010
ID_U2LRFDA,2010-01-02,2011-01-01,Female,42,2010-01-02,1,Saloon,Black,TOYOTA,Abuja Municipal,Abuja-Municipal,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_RZHIOEK,2010-01-02,2011-01-01,Female,34,2010-01-02,1,Saloon,Black,TOYOTA,Kosofe,Benue,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_Z9Z9YTG,2010-01-02,2011-01-01,Male,42,2010-01-02,1,Saloon,Black,Hyundai,Kosofe,Benue,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_A6U5OQ3,2010-01-02,2011-01-01,Other,44,2010-01-02,1,Saloon,Blue,TOYOTA,Kosofe,Benue,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_W1GIO3R,2010-01-02,2011-01-01,Other,15,2010-01-02,1,Saloon,Dark Blue,BMW,Kosofe,Benue,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_0O545WK,2010-01-02,2011-01-01,Female,82,2010-01-02,1,Saloon,Dark Blue,Hyundai,Kosofe,Benue,CarSafe,0,2010,1,2,2011,1,1,2010,2010,2010
ID_H5VJVX7,2010-01-02,2011-01-01,Male,44,2010-01-02,1,JEEP,Dark Blue,TOYOTA,Kosofe,Benue,CarSafe,0,2010,1,2,2011,1,1,2010,2010,2010
ID_B3NN04N,2010-01-02,2011-01-01,Female,57,2010-01-02,1,Saloon,Dark Blue,Honda,Kosofe,Benue,CarSafe,0,2010,1,2,2011,1,1,2010,2010,2010
ID_CMUQUFY,2010-01-02,2011-01-01,Male,51,2010-01-02,1,Saloon,Dark Blue,TOYOTA,Lagos Island,Lagos,Car Classic,1,2010,1,2,2011,1,1,2010,2010,2010
ID_31SWJ90,2010-01-02,2011-01-01,Male,45,2010-01-02,1,Saloon,Dark Blue,Honda,Lagos Island,Lagos,CarSafe,0,2010,1,2,2011,1,1,2010,2010,2010
ID_4833K0H,2010-01-02,2011-01-01,Male,64,2010-01-02,1,Saloon,Silver,Hyundai,Yaba,Benue,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_A1NRGZU,2010-01-02,2011-01-01,Male,42,2010-01-02,1,Saloon,Black,Hyundai,Yaba,Benue,Car Classic,1,2010,1,2,2011,1,1,2010,2010,2010
ID_C6T4CJS,2010-01-02,2011-01-01,Male,31,2010-01-02,1,JEEP,Black,Lexus,Yaba,Benue,Car Classic,1,2010,1,2,2011,1,1,2010,2010,2010
ID_G9Q8OLW,2010-01-02,2011-01-01,Male,61,2010-01-02,1,Saloon,Grey,TOYOTA,Agege,Lagos,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_KXYONRA,2010-01-02,2011-01-01,Female,36,2010-01-02,1,Saloon,Silver,Nissan,Lagos,Lagos,Customized Motor,0,2010,1,2,2011,1,1,2010,2010,2010
ID_JGZ9VAI,2010-01-02,2011-01-01,Male,31,2010-01-02,1,JEEP,Silver,Lexus,Lagos,Lagos,Car Classic,1,2010,1,2,2011,1,1,2010,2010,2010
ID_94465YV,2010-01-02,2011-01-01,Female,34,2010-01-02,1,Saloon,Silver,TOYOTA,Kosofe,Benue,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_Z6L22JV,2010-01-02,2011-01-01,,120,2010-01-02,1,Saloon,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_FZDQVQR,2010-01-02,2011-01-01,Male,47,2010-01-02,1,Saloon,Red,Hyundai,Ife Central,Ife-Central,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_P391B2L,2010-01-02,2011-01-01,Male,35,2010-01-02,1,Saloon,Blue,TOYOTA,Ife Central,Ife-Central,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_SGUHRZR,2010-01-02,2011-01-01,Male,25,2010-01-02,1,Saloon,Blue,Honda,Ife Central,Ife-Central,CarSafe,0,2010,1,2,2011,1,1,2010,2010,2010
ID_IZ5DJAE,2010-01-02,2011-01-01,Male,30,2010-01-02,1,Saloon,Blue,TOYOTA,Ife Central,Ife-Central,Car Plus,1,2010,1,2,2011,1,1,2010,2010,2010
ID_T4NKILF,2010-01-02,2011-01-01,Male,40,2010-01-02,1,Saloon,Black,Kia,Lagos Island,Lagos,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_X2OF9XP,2010-01-02,2011-01-01,Female,34,2010-01-02,1,Saloon,Black,TOYOTA,Kosofe,Benue,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_9V9NU4K,2010-01-02,2011-01-01,Male,44,2010-01-02,2,Saloon,White,TOYOTA,Ojo,Benue,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_QD3AHLE,2010-01-02,2011-01-01,Female,33,2010-01-02,1,JEEP,White,Honda,Ojo,Benue,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_5P5JK6I,2010-01-02,2011-01-01,Female,1,2010-01-02,1,Saloon,White,Hyundai,Ojo,Benue,CarSafe,0,2010,1,2,2011,1,1,2010,2010,2010
ID_LRWA7LN,2010-01-02,2011-01-01,Male,36,2010-01-02,1,Saloon,White,Mazda,Ojo,Benue,CarSafe,0,2010,1,2,2011,1,1,2010,2010,2010
ID_ERQS1H2,2010-01-02,2011-01-01,Female,1,2010-01-02,1,Saloon,White,Kia,Ojo,Benue,CarSafe,0,2010,1,2,2011,1,1,2010,2010,2010
ID_7039TQK,2010-01-02,2011-01-01,Female,32,2010-01-02,1,JEEP,Silver,Hyundai,Ojo,Benue,Car Classic,0,2010,1,2,2011,1,1,2010,2010,2010
ID_LUI9I7J,2010-01-02,2011-01-01,Male,51,2010-01-02,1,Saloon,Silver,Honda,Ojo,Benue,CarSafe,0,2010,1,2,2011,1,1,2010,2010,2010
ID_CHDDEVM,2010-01-03,2011-01-02,Female,65,2010-01-03,1,Saloon,Wine,Ford,Egbeda,Benue,Car Classic,0,2010,1,3,2011,1,2,2010,2010,2010
ID_ZI4RDNL,2010-01-03,2011-01-02,Female,31,2010-01-03,1,JEEP,Wine,Nissan,Egbeda,Benue,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_ZDELJ3D,2010-01-03,2011-01-02,Male,40,2010-01-03,1,Saloon,Wine,Honda,Egbeda,Benue,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_0U2TXZ7,2010-01-03,2011-01-02,Male,30,2010-01-03,1,Saloon,Wine,Lexus,Esan West,Esan-West,Car Plus,1,2010,1,3,2011,1,2,2010,2010,2010
ID_54QKCAP,2010-01-03,2011-01-02,Female,35,2010-01-03,1,Saloon,Wine,Kia,Esan West,Esan-West,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_CGDRXVQ,2010-01-03,2011-01-02,Male,45,2010-01-03,1,Saloon,Wine,Skoda,Esan West,Esan-West,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_H52YW98,2010-01-03,2011-01-02,Other,20,2010-01-03,1,Saloon,Wine,TOYOTA,"Central Area, Abuja",Central-Abuja,CVTP,0,2010,1,3,2011,1,2,2010,2010,2010
ID_WPL6PNC,2010-01-03,2011-01-01,Male,31,2010-01-03,1,Saloon,White,TOYOTA,Ojo,Benue,Car Plus,0,2010,1,3,2011,1,1,2010,2010,2010
ID_ONWC2EF,2010-01-03,2011-01-02,Male,70,2010-01-03,1,Saloon,White,TOYOTA,Ojo,Benue,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_5HCU70M,2010-01-03,2011-01-02,Male,34,2010-01-03,1,Saloon,Grey,TOYOTA,Ojo,Benue,Car Classic,0,2010,1,3,2011,1,2,2010,2010,2010
ID_OPMTYS3,2010-01-03,2011-01-02,Other,20,2010-01-03,1,Saloon,Grey,TOYOTA,"Central Area, Abuja",Central-Abuja,CVTP,0,2010,1,3,2011,1,2,2010,2010,2010
ID_MSAXJYH,2010-01-03,2011-01-02,Male,70,2010-01-03,1,Saloon,Grey,TOYOTA,"Central Area, Abuja",Central-Abuja,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_ZH0MGO0,2010-01-03,2011-01-02,Male,47,2010-01-03,1,Saloon,Grey,Honda,"Central Area, Abuja",Central-Abuja,Car Classic,1,2010,1,3,2011,1,2,2010,2010,2010
ID_4U77288,2010-01-03,2011-01-02,Male,35,2010-01-03,1,Saloon,White,TOYOTA,Mushin,Lagos,Car Classic,1,2010,1,3,2011,1,2,2010,2010,2010
ID_3L7OAIY,2010-01-03,2011-01-02,Other,50,2010-01-03,1,Saloon,White,Nissan,Mushin,Lagos,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_RUPXETB,2010-01-03,2011-01-02,Male,54,2010-01-03,1,JEEP,White,Ford,Mushin,Lagos,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_AVCYSJ2,2010-01-03,2011-01-02,Male,34,2010-01-03,2,Saloon,White,Honda,Yaba,Benue,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_9ECL19E,2010-01-03,2011-01-02,Male,50,2010-01-03,2,Saloon,As Attached,Ford,Yaba,Benue,CVTP,0,2010,1,3,2011,1,2,2010,2010,2010
ID_J6SR5JG,2010-01-03,2011-01-01,Male,31,2010-01-03,1,Saloon,White,TOYOTA,Ojo,Benue,Car Plus,1,2010,1,3,2011,1,1,2010,2010,2010
ID_QOZ1W9G,2010-01-03,2011-01-02,Female,57,2010-01-03,1,Saloon,Grey,Honda,Ibadan North West,Ibadan-West,Car Classic,0,2010,1,3,2011,1,2,2010,2010,2010
ID_2ITZL8T,2010-01-03,2011-01-02,Male,47,2010-01-03,1,Saloon,Grey,Honda,Ibadan North West,Ibadan-West,Car Classic,0,2010,1,3,2011,1,2,2010,2010,2010
ID_FHD2R5Q,2010-01-03,2011-01-02,Female,40,2010-01-03,2,JEEP,Blue,Honda,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,2010,1,3,2011,1,2,2010,2010,2010
ID_KWSXH8P,2010-01-03,2011-01-02,Male,37,2010-01-03,1,Saloon,Blue,Mercedes,Ibeju/Lekki,Ibeju-Lekki,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_2UEJ07E,2010-01-03,2011-01-02,Male,60,2010-01-03,1,JEEP,Blue,Honda,Ibeju/Lekki,Ibeju-Lekki,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_KLPLGLB,2010-01-03,2011-01-02,Female,31,2010-01-03,1,JEEP,Blue,Honda,Ibeju/Lekki,Ibeju-Lekki,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_TEG9DI1,2010-01-03,2011-01-02,Male,40,2010-01-03,2,Saloon,Blue,TOYOTA,Benin,Edo,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_6VOMRVY,2010-01-03,2011-01-02,Male,50,2010-01-03,1,JEEP,Blue,Ford,Benin,Edo,CarSafe,0,2010,1,3,2011,1,2,2010,2010,2010
ID_6UDCQC4,2010-01-03,2011-01-02,Male,35,2010-01-03,1,Saloon,Silver,TOYOTA,Benin,Edo,Car Classic,0,2010,1,3,2011,1,2,2010,2010,2010
ID_X8UJVW7,2010-01-03,2011-01-02,Male,38,2010-01-03,1,Saloon,Silver,Nissan,Benin,Edo,CarSafe,1,2010,1,3,2011,1,2,2010,2010,2010
ID_ZOG7PM9,2010-01-03,2011-01-02,Female,42,2010-01-03,3,Saloon,Black,Hyundai,Port Harcourt,Rivers,Car Classic,0,2010,1,3,2011,1,2,2010,2010,2010
